,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
0,1.0,Alabama A & M University,0.20-0.24,<=0.05,18250.0,23167.0,0.684,0.2465,0.5928,27851.0
1,0.0,University of Alabama at Birmingham,0.07,0.09,18000.0,26257.0,0.8668,0.5593,0.8243,46572.0
2,0.0,Amridge University,<=0.20,<=0.20,13625.0,,,,,30377.0
3,0.0,University of Alabama in Huntsville,0.07-0.08,0.11-0.12,16250.0,25777.0,0.781,0.5041,0.8018,55610.0
4,1.0,Alabama State University,0.20-0.24,<=0.05,18236.0,21900.0,0.966,0.265,0.596,27453.0
5,0.0,The University of Alabama,0.07,0.09,19500.0,31024.0,0.8006,0.5893,0.8668,52233.0
6,0.0,Central Alabama Community College,0.20-0.29,<=0.10,5930.0,14041.0,,,,30739.0
7,0.0,Athens State University,0.05-0.09,0.05-0.09,15849.0,,,,,46266.0
8,0.0,Auburn University at Montgomery,0.11-0.12,0.05-0.06,14000.0,19771.0,0.9223,0.348,0.7016,38216.0
9,0.0,Auburn University,0.05,0.14,20000.0,33650.0,0.4374,0.7067,0.9261,54629.0
10,0.0,Birmingham-Southern College,0.05-0.09,0.05-0.09,17500.0,35495.0,0.5717,0.5952,0.7746,45229.0
11,0.0,Chattahoochee Valley Community College,<=0.20,<=0.20,6697.0,9320.0,,,,32196.0
12,0.0,South University-Montgomery,0.16,0.04,13324.0,32195.0,,0.0556,0.1667,34115.0
13,0.0,Enterprise State Community College,0.20-0.29,<=0.10,5500.0,9452.0,,,,32883.0
14,0.0,Coastal Alabama Community College,0.15-0.19,0.05-0.09,6125.0,14446.0,,,,30808.0
15,0.0,Faulkner University,0.10-0.14,<=0.05,16000.0,36169.0,0.8241,0.2174,0.6316,37313.0
16,1.0,Gadsden State Community College,PS,PS,,10613.0,,,,29795.0
17,0.0,New Beginning College of Cosmetology,PS,PS,,,,,,15833.0
18,0.0,George C Wallace Community College-Dothan,PS,PS,,8592.0,,,,28431.0
19,0.0,George C Wallace State Community College-Hanceville,0.15-0.19,0.05-0.09,8250.0,15488.0,,,,36129.0
20,0.0,George C Wallace State Community College-Selma,PS,PS,,9195.0,,,,25214.0
21,0.0,Herzing University-Birmingham,0.15-0.16,0.03-0.04,11122.0,28152.0,0.9412,0.3333,0.5,35295.0
22,0.0,Huntingdon College,0.10-0.14,0.05-0.09,23000.0,39717.0,0.6595,0.4595,0.648,42147.0
23,0.0,Heritage Christian University,PS,PS,,17810.0,1.0,,1.0,
24,1.0,J. F. Drake State Community and Technical College,PS,PS,,12078.0,,,,27211.0
25,0.0,J F Ingram State Technical College,PS,PS,,6084.0,,,,
26,0.0,Jacksonville State University,0.11-0.12,0.05-0.06,15125.0,22153.0,0.7846,0.4253,0.6566,40158.0
27,0.0,Jefferson State Community College,0.15-0.16,0.09-0.10,4406.0,14677.0,,,,35502.0
28,0.0,John C Calhoun State Community College,0.17-0.18,0.07-0.08,6250.0,11532.0,,,,32579.0
29,1.0,Lawson State Community College,PS,PS,,14471.0,,,,27733.0
30,0.0,University of West Alabama,0.09-0.10,0.03-0.04,14250.0,22456.0,0.6886,0.3682,0.691,37106.0
31,0.0,Lurleen B Wallace Community College,PS,PS,,10125.0,,,,30010.0
32,0.0,Marion Military Institute,0.10-0.19,0.10-0.19,4750.0,18368.0,0.627,,,45043.0
33,1.0,Miles College,0.20-0.39,<=0.20,16392.0,22653.0,,0.2474,0.5737,25822.0
34,0.0,University of Mobile,0.10-0.14,0.05-0.09,22500.0,37908.0,0.8408,0.5263,0.68,37411.0
35,0.0,University of Montevallo,0.10-0.14,<=0.05,18500.0,26185.0,0.5984,0.4727,0.7322,35406.0
36,0.0,Northwest Shoals Community College,0.25-0.29,0.05-0.09,5593.0,10919.0,,,,31469.0
37,0.0,University of North Alabama,0.13-0.14,0.05-0.06,17500.0,21621.0,0.9568,0.3914,0.7635,38295.0
38,0.0,Northeast Alabama Community College,0.10-0.19,0.10-0.19,3500.0,9660.0,,,,31750.0
39,1.0,Oakwood University,0.15-0.19,<=0.05,23875.0,38377.0,0.6805,0.35,0.7706,30969.0
40,0.0,Reid State Technical College,PS,PS,,11482.0,,,,28287.0
41,1.0,Bishop State Community College,PS,PS,,11616.0,,,,25100.0
42,0.0,Samford University,0.03-0.04,0.15-0.16,19125.0,52514.0,0.8326,0.681,0.9096,49466.0
43,1.0,Selma University,,,,,,,,
44,1.0,Shelton State Community College,PS,PS,,15065.0,,,,31581.0
45,0.0,Snead State Community College,0.10-0.19,0.10-0.19,6410.0,12800.0,,,,32858.0
46,0.0,University of South Alabama,0.10,0.08,20000.0,22667.0,0.6536,0.4452,0.6878,41307.0
47,0.0,Spring Hill College,0.10-0.14,0.05-0.09,20306.0,35488.0,0.7263,0.4545,0.8093,41358.0
48,1.0,Stillman College,0.20-0.39,<=0.20,17000.0,25678.0,0.6454,0.2222,0.633,29790.0
49,1.0,Talladega College,0.20-0.39,PS,15250.0,22267.0,,0.3409,0.7593,22613.0
50,1.0,H Councill Trenholm State Community College,PS,PS,,12688.0,,,,28657.0
51,0.0,Troy University,0.11,0.03,17750.0,22005.0,0.9484,0.3808,0.7477,39392.0
52,1.0,Tuskegee University,0.10-0.14,<=0.05,23500.0,41924.0,0.2969,0.9706,0.756,38332.0
53,0.0,United States Sports Academy,<=0.10,<=0.10,,,1.0,,,45521.0
54,0.0,Bevill State Community College,PS,PS,,15002.0,,,,31129.0
55,0.0,University of Alaska Anchorage,0.12,0.12,12888.0,23461.0,0.6532,0.2285,0.6626,42313.0
56,0.0,Alaska Bible College,PS,PS,,19679.0,,0.5,0.25,
57,0.0,University of Alaska Fairbanks,0.13-0.14,0.11-0.12,13245.0,19814.0,,0.2749,0.697,40746.0
58,0.0,University of Alaska Southeast,0.10-0.14,0.05-0.09,12097.0,17471.0,0.6266,0.119,0.6522,38811.0
59,0.0,Alaska Pacific University,<=0.20,<=0.20,12000.0,36422.0,0.9931,0.1538,0.8235,47803.0
60,0.0,Alaska Vocational Technical Center,PS,PS,,,,,,42187.0
61,0.0,Charter College,0.19-0.20,0.05-0.06,12005.0,30947.0,,0.5431,0.0,35427.0
62,0.0,Alaska Career College,<=0.20,<=0.20,7199.0,,,,,35863.0
63,0.0,Empire Beauty School-Tucson,0.20-0.29,<=0.10,8028.0,,,,,19285.0
64,0.0,Carrington College-Phoenix North,0.20-0.24,0.05-0.09,9229.0,,,,,34062.0
65,0.0,Carrington College-Mesa,0.20-0.24,0.05-0.09,9229.0,,,,,34062.0
66,0.0,Carrington College-Tucson,0.20-0.24,0.05-0.09,9229.0,,,,,34062.0
67,0.0,Arizona Academy of Beauty,PS,PS,,,,,,19104.0
68,0.0,Miller-Motte College-Arizona Automotive Institute,0.29-0.30,0.03-0.04,10834.0,,,,,26349.0
69,0.0,Brookline College-Phoenix,0.20-0.29,<=0.10,9491.0,,,0.6111,,32705.0
70,0.0,Arizona State University Campus Immersion,0.08,0.13,14713.0,26937.0,0.8975,0.5951,0.8536,52843.0
71,0.0,Arizona Western College,0.20-0.39,<=0.20,4500.0,15695.0,,,,32165.0
72,0.0,University of Arizona,0.08,0.15,14737.0,27682.0,0.8676,0.5992,0.8564,47665.0
73,0.0,Central Arizona College,0.20-0.24,0.05-0.09,7455.0,11627.0,,,,36057.0
74,0.0,Charles of Italy Beauty College,PS,PS,,,,,,16810.0
75,0.0,Cochise County Community College District,<=0.20,<=0.20,6000.0,12971.0,,,,33836.0
76,0.0,Empire Beauty School-Chandler,0.20-0.24,<=0.05,7706.0,,,,,20215.0
77,0.0,Avalon Institute-Mesa,0.20-0.24,0.05-0.09,6285.0,,,,,29562.0
78,0.0,Eastern Arizona College,PS,PS,,15230.0,,,,33246.0
79,0.0,Embry-Riddle Aeronautical University-Prescott,0.06,0.13,16625.0,58036.0,0.68,0.635,0.7823,65391.0
80,0.0,The School of Architecture,PS,PS,,,,,,
81,0.0,Glendale Community College,0.17-0.18,0.07-0.08,4974.0,16231.0,,,,37269.0
82,0.0,Grand Canyon University,0.10,0.06,12500.0,31440.0,0.7787,0.4002,0.702,47280.0
83,0.0,GateWay Community College,0.15-0.19,0.05-0.09,4500.0,17711.0,,,,42262.0
84,0.0,Mesa Community College,0.19-0.20,0.07-0.08,5250.0,17128.0,,,,38702.0
85,0.0,Mohave Community College,<=0.20,<=0.20,9000.0,11230.0,,,,33428.0
86,0.0,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0.26,0.06,10774.0,,,,,42989.0
87,0.0,Dine College,PS,PS,,14048.0,,0.1739,1.0,23195.0
88,0.0,Northern Arizona University,0.09,0.11,13452.0,28648.0,0.7999,0.522,0.7594,47308.0
89,0.0,Northland Pioneer College,PS,PS,,15097.0,,,,29631.0
90,0.0,Phoenix College,0.20-0.24,<=0.05,5500.0,16957.0,,,,36674.0
91,0.0,Pima Community College,0.19-0.20,0.09-0.10,4850.0,8742.0,,,,34622.0
92,0.0,Pima Medical Institute-Tucson,0.13,0.09,9500.0,,,0.699,,37302.0
93,0.0,Pima Medical Institute-Albuquerque,PS,PS,4750.0,,,,,28599.0
94,0.0,Prescott College,<=0.10,<=0.10,12998.0,45439.0,0.9838,0.5,0.5278,33539.0
95,0.0,Refrigeration School Inc,0.20-0.29,<=0.10,7917.0,,,,,47246.0
96,0.0,Rio Salado College,0.19-0.20,0.05-0.06,4500.0,11938.0,,,,42314.0
97,0.0,Roberto-Venn School of Luthiery,PS,PS,,,,,,36340.0
98,0.0,Scottsdale Community College,0.15-0.19,0.05-0.09,5250.0,18529.0,,,,39059.0
99,0.0,South Mountain Community College,0.20-0.29,<=0.10,4750.0,16406.0,,,,35633.0
100,0.0,Arizona Christian University,0.10-0.19,0.10-0.19,8000.0,47865.0,0.7014,0.2727,0.6033,39524.0
101,0.0,Universal Technical Institute of Arizona Inc,0.24,0.07,11389.0,,,,,47320.0
102,0.0,Yavapai College,0.20-0.29,<=0.10,7750.0,12681.0,,,,35028.0
103,0.0,University of Arkansas at Little Rock,0.12,0.06,15937.0,21300.0,0.6146,0.3649,0.7452,40040.0
104,0.0,University of Arkansas for Medical Sciences,0.03-0.04,0.13-0.14,13000.0,,,,,66491.0
105,1.0,Arkansas Baptist College,0.40-0.59,<=0.20,8250.0,22715.0,,0.0873,0.1953,22652.0
106,0.0,Arkansas Beauty School-Little Rock,PS,PS,,,,,,14638.0
107,0.0,Arkansas Beauty College,PS,PS,,,,,,20636.0
108,0.0,Lyon College,0.10-0.19,<=0.10,11000.0,44749.0,0.5984,0.3857,0.5072,37629.0
109,0.0,Arkansas Technical School,PS,PS,,,,,,16624.0
110,0.0,Arthur's Beauty College,PS,PS,,,,,,16389.0
111,0.0,University of Arkansas,0.08,0.12,17213.0,24611.0,0.7893,0.5435,0.8558,49686.0
112,1.0,University of Arkansas at Pine Bluff,0.20-0.29,<=0.10,15000.0,19968.0,0.6933,0.3754,0.5891,31161.0
113,0.0,Arkansas State University-Beebe,0.10-0.19,<=0.10,6000.0,15851.0,,,,32587.0
114,0.0,Arkansas State University,0.09,0.08,16000.0,21176.0,0.6951,0.4458,0.7756,38944.0
115,0.0,Arkansas Tech University,0.13-0.14,0.07-0.08,12500.0,20919.0,0.9439,0.4135,0.6289,37638.0
116,0.0,University of Arkansas at Monticello,0.20-0.24,<=0.05,12000.0,19068.0,,0.318,0.6787,31332.0
117,0.0,Arthur's Beauty College,PS,PS,7662.0,,,,,20177.0
118,0.0,Baptist Health College Little Rock,<=0.10,<=0.10,9500.0,,0.8571,,,53393.0
119,0.0,Black River Technical College,<=0.20,<=0.20,6550.0,13691.0,,,,31263.0
120,0.0,University of Central Arkansas,0.11,0.08,14353.0,23167.0,0.9121,0.4153,0.7413,36670.0
121,0.0,Central Baptist College,<=0.20,<=0.20,13750.0,28293.0,0.6394,0.2459,0.6261,37681.0
122,0.0,Cossatot Community College of the University of Arkansas,PS,PS,,11376.0,,,,30249.0
123,0.0,Crowley's Ridge College,PS,PS,12750.0,23894.0,,0.2273,0.7273,33362.0
124,0.0,East Arkansas Community College,PS,PS,4750.0,13976.0,,,,26801.0
125,0.0,Paul Mitchell the School-Little Rock,0.20-0.39,<=0.20,9780.0,,,,,18994.0
126,0.0,National Park College,0.20-0.39,<=0.20,6750.0,13759.0,,,,28337.0
127,0.0,University of Arkansas Community College-Batesville,PS,PS,8000.0,14375.0,,,,32636.0
128,0.0,Harding University,0.06,0.12,25000.0,34168.0,0.4512,0.5731,0.8443,43555.0
129,0.0,Henderson State University,0.10-0.14,0.05-0.09,12350.0,26032.0,0.7066,0.3415,0.5718,35194.0
130,0.0,Hendrix College,<=0.10,0.10-0.19,19500.0,49928.0,0.6028,0.6481,0.7905,39913.0
131,0.0,Hot Springs Beauty College,PS,PS,,,,,,16969.0
132,0.0,Jefferson Regional School of Nursing,PS,PS,5625.0,,,,,62090.0
133,0.0,John Brown University,<=0.05,0.15-0.19,17250.0,42128.0,0.5664,0.6207,0.8445,46114.0
134,0.0,Career Academy of Hair Design,PS,PS,5511.0,,,,,18556.0
135,0.0,Academy of Salon and Spa,PS,PS,,,,,,17132.0
136,0.0,Arkansas State University Mid-South,PS,PS,,15906.0,,,,27557.0
137,0.0,Arkansas Northeastern College,PS,PS,,10453.0,,,,30674.0
138,0.0,New Tyler Barber College Inc,PS,PS,,,,,,16629.0
139,0.0,North Arkansas College,<=0.20,<=0.20,6539.0,13786.0,,,,31671.0
140,0.0,Northwest Technical Institute,PS,PS,,11129.0,,,,41241.0
141,0.0,Ouachita Baptist University,0.10-0.14,0.15-0.19,15250.0,43878.0,0.7232,0.5271,0.7897,41697.0
142,0.0,Arkansas State University Three Rivers,PS,PS,6853.0,10370.0,,,,33365.0
143,0.0,Ozarka College,PS,PS,8250.0,11310.0,,,,28145.0
144,0.0,University of the Ozarks,<=0.20,<=0.20,11025.0,35272.0,0.6008,0.3478,0.6853,37651.0
145,0.0,University of Arkansas Community College-Morrilton,0.10-0.19,<=0.10,7200.0,12423.0,1.0,,,32571.0
146,1.0,Philander Smith University,PS,PS,14890.0,25951.0,,0.3018,0.7222,25254.0
147,0.0,Phillips Community College of the University of Arkansas,PS,PS,,11244.0,,,,27083.0
148,0.0,Southeast Arkansas College,PS,PS,6419.0,11877.0,,,,29235.0
149,0.0,University of Aesthetics & Cosmetology,PS,PS,,,,,,17198.0
150,0.0,University of Arkansas-Pulaski Technical College,0.15-0.19,<=0.05,7527.0,18763.0,,,,30437.0
151,0.0,University of Arkansas Hope-Texarkana,PS,PS,,13564.0,,,,30007.0
152,0.0,University of Arkansas Community College Rich Mountain,PS,PS,,10771.0,,,,22765.0
153,0.0,Paul Mitchell the School-Arkansas,PS,PS,8875.0,,,,,29106.0
154,0.0,Searcy Beauty College,PS,PS,,,,,,
155,1.0,Shorter College,PS,PS,,19724.0,,,,15710.0
156,0.0,Williams Baptist University,<=0.20,<=0.20,9875.0,30718.0,0.5931,0.4561,0.5789,38067.0
157,0.0,South Arkansas College,<=0.20,<=0.20,7349.0,10774.0,,,,30240.0
158,0.0,Southern Arkansas University Main Campus,0.20-0.24,0.05-0.09,14000.0,24242.0,0.6361,0.3794,0.7054,37008.0
159,0.0,Southern Arkansas University Tech,0.20-0.39,PS,4000.0,15344.0,,,,31841.0
160,0.0,Velvatex College of Beauty Culture,PS,PS,,,,,,14400.0
161,0.0,University of Arkansas-Fort Smith,0.15-0.19,0.10-0.14,11250.0,17947.0,,0.3827,0.7118,35925.0
162,0.0,Academy of Art University,0.12,0.05,11500.0,44484.0,,0.2571,0.702,30452.0
163,0.0,Academy of Chinese Culture and Health Sciences,PS,PS,,,,,,
164,0.0,College of Alameda,PS,PS,,20277.0,,,,34535.0
165,0.0,Allan Hancock College,PS,<=0.20,8684.0,10744.0,,,,33531.0
166,0.0,American Academy of Dramatic Arts-Los Angeles,0.10-0.19,<=0.10,12000.0,52705.0,0.9011,,,17742.0
167,0.0,Berkeley School of Theology,PS,PS,,,,,,
168,0.0,American Film Institute Conservatory,PS,PS,,,,,,
169,0.0,American Beauty College,PS,PS,,,,,,20569.0
170,0.0,American Career College-Los Angeles,0.15-0.19,<=0.05,9500.0,,,,,35013.0
171,0.0,American River College,0.20-0.39,<=0.20,9500.0,12586.0,,,,34072.0
172,0.0,Antelope Valley Community College District,PS,PS,9000.0,9507.0,,0.2673,,28110.0
173,0.0,Art Center College of Design,<=0.10,0.10-0.19,28250.0,70276.0,0.7097,0.8261,0.8587,53562.0
174,0.0,Associated Technical College-Los Angeles,PS,PS,,,,,,20840.0
175,0.0,Associated Technical College-San Diego,PS,PS,,,,,,22561.0
176,0.0,Azusa Pacific University,0.05,0.12,21500.0,54157.0,0.87,0.4088,0.7788,56794.0
177,0.0,Bakersfield College,PS,PS,9500.0,13920.0,,0.2049,,29867.0
178,0.0,Barstow Community College,PS,PS,,17693.0,,,,30462.0
179,0.0,Bellus Academy-Chula Vista,PS,PS,6333.0,,,,,19304.0
180,0.0,Bethesda University,PS,PS,,23846.0,,0.0,0.1803,37397.0
181,0.0,Biola University,0.03,0.18,20500.0,57785.0,0.5663,0.6395,0.8432,45752.0
182,0.0,Brownson Technical School,PS,PS,9500.0,,,,,63011.0
183,0.0,Bryan University,0.20-0.29,<=0.10,14250.0,23399.0,,0.3077,,32146.0
184,0.0,Butte College,0.20-0.29,<=0.10,8812.0,14811.0,,,,33709.0
185,0.0,California Institute of Integral Studies,0.05-0.09,0.10-0.14,18750.0,,,,,56360.0
186,0.0,Cabrillo College,PS,PS,9500.0,22496.0,,,,34990.0
187,0.0,California Baptist University,0.07,0.11,22250.0,49531.0,0.7992,0.5681,0.725,52336.0
188,0.0,California College of the Arts,0.05-0.09,0.15-0.19,25000.0,74618.0,0.7569,0.5161,0.7847,38308.0
189,0.0,University of California College of the Law-San Francisco,<=0.05,0.20-0.24,,,,,,
190,0.0,California Institute of Technology,PS,PS,,79947.0,0.0269,0.9032,0.9814,132140.0
191,0.0,California Lutheran University,0.03-0.04,0.15-0.16,20000.0,60992.0,0.8718,0.7374,0.8102,54981.0
192,0.0,California Polytechnic State University-San Luis Obispo,0.02,0.33,16446.0,29680.0,0.3043,0.8063,0.9397,72358.0
193,0.0,Alliant International University-San Diego,0.03-0.04,0.07-0.08,14000.0,,0.0,,,47218.0
194,0.0,California State University-Bakersfield,0.07-0.08,0.13-0.14,11250.0,18410.0,0.8655,0.463,0.7291,44282.0
195,0.0,California State University-Stanislaus,0.05-0.06,0.15-0.16,11000.0,16968.0,0.9661,0.5386,0.8078,47793.0
196,0.0,California State University-San Bernardino,0.06,0.13,11712.0,18750.0,0.9108,0.5324,0.8008,43149.0
197,0.0,California State Polytechnic University-Pomona,0.04,0.20,12833.0,21655.0,0.5538,0.6187,0.8668,54466.0
198,0.0,California State University-Chico,0.06,0.16,14517.0,24766.0,0.95,0.5751,0.7986,50493.0
199,0.0,California State University-Dominguez Hills,0.05-0.06,0.11-0.12,11250.0,14958.0,0.8913,0.4645,0.7021,46827.0
200,0.0,California State University-Fresno,0.06,0.14,12000.0,17508.0,0.9543,0.5403,0.7571,44012.0
201,0.0,California State University-Fullerton,0.04,0.20,11000.0,17337.0,0.6672,0.658,0.8551,48558.0
202,0.0,California State University-East Bay,0.06,0.15,13397.0,20693.0,0.962,0.4259,0.7492,55546.0
203,0.0,California State University-Long Beach,0.03,0.19,12000.0,18983.0,0.3995,0.7041,0.8544,50062.0
204,0.0,California State University-Los Angeles,0.04,0.15,11000.0,17010.0,0.8694,0.5112,0.7348,45702.0
205,0.0,California State University-Northridge,0.05,0.14,11075.0,19585.0,0.9123,0.5306,0.747,44372.0
206,0.0,California State University-Sacramento,0.06,0.17,12500.0,21396.0,0.9321,0.5233,0.8024,51074.0
207,0.0,University of California-Berkeley,0.03,0.33,11211.0,41130.0,0.1133,0.888,0.9588,74919.0
208,0.0,University of California-Davis,0.03,0.29,11000.0,36975.0,0.3734,0.8144,0.919,58461.0
209,0.0,University of California-Irvine,0.02,0.29,13176.0,34731.0,0.2115,0.8501,0.9127,56210.0
210,0.0,University of California-Los Angeles,0.02,0.28,12500.0,35689.0,0.0857,0.8895,0.9656,59063.0
211,0.0,University of California-Riverside,0.04,0.22,14500.0,34100.0,0.6869,0.7523,0.8735,48593.0
212,0.0,University of California-San Diego,0.03,0.33,14837.0,35274.0,0.2371,0.8388,0.9339,65669.0
213,0.0,University of California-San Francisco,<=0.02,0.37-0.38,,,,,,
214,0.0,University of California-Santa Barbara,0.03,0.25,11698.0,36607.0,0.2585,0.8203,0.9236,56852.0
215,0.0,University of California-Santa Cruz,0.05,0.22,15000.0,37707.0,0.4692,0.772,0.8797,49716.0
216,0.0,Sofia University,<=0.20,<=0.20,,,,,,
217,0.0,California Beauty School,PS,PS,,,,,,19518.0
218,0.0,California Christian College,PS,PS,,,1.0,0.0,,
219,0.0,Haven University,PS,PS,,,,,,
220,0.0,California Hair Design Academy,PS,PS,,,,,,15702.0
221,0.0,California Institute of the Arts,0.10-0.14,0.05-0.09,20000.0,75865.0,0.2476,0.5,0.848,28018.0
222,0.0,California State University Maritime Academy,<=0.10,0.20-0.29,18744.0,27186.0,0.955,0.625,0.7282,84676.0
223,0.0,California Western School of Law,<=0.05,<=0.05,,,,,,
224,0.0,Canada College,PS,PS,,11335.0,,,,42044.0
225,0.0,College of the Canyons,0.10-0.19,<=0.10,7375.0,11066.0,,,,37697.0
226,0.0,Career Academy of Beauty,PS,PS,6279.0,,,,,19925.0
227,0.0,Casa Loma College-Los Angeles,<=0.20,<=0.20,19383.0,,0.4,0.4706,0.8,50197.0
228,0.0,CET-San Diego,0.20-0.29,<=0.10,6729.0,,,,,33264.0
229,0.0,CET-San Jose,0.20-0.29,<=0.10,6729.0,,,,,33264.0
230,0.0,CET-El Centro,0.20-0.29,<=0.10,6729.0,,,,,33264.0
231,0.0,CET-Colton,0.20-0.29,<=0.10,6729.0,,,,,33264.0
232,0.0,CET-Watsonville,0.20-0.29,<=0.10,6729.0,,,,,33264.0
233,0.0,CET-Salinas,0.20-0.29,<=0.10,6729.0,,,,,33264.0
234,0.0,Cerritos College,<=0.20,<=0.20,9000.0,9184.0,,,,32581.0
235,0.0,Cerro Coso Community College,PS,PS,,16120.0,,,,29462.0
236,0.0,Chabot College,PS,PS,9084.0,13831.0,,,,40674.0
237,0.0,Chaffey College,PS,PS,,18878.0,,,,33265.0
238,0.0,Chapman University,0.03,0.21,19168.0,78549.0,0.7252,0.8068,0.9129,58080.0
239,0.0,Charles R Drew University of Medicine and Science,<=0.05,0.05-0.09,21500.0,38874.0,0.8046,,0.5333,60939.0
240,0.0,Concordia University-Irvine,0.05,0.15,19000.0,54221.0,0.6899,0.6102,0.695,53777.0
241,0.0,San Diego Christian College,0.10-0.19,<=0.10,14500.0,50518.0,,0.3913,0.6,39848.0
242,0.0,Church Divinity School of the Pacific,PS,PS,,,,,,
243,0.0,Citrus College,<=0.20,<=0.20,6202.0,11309.0,,,,34753.0
244,0.0,Citrus Heights Beauty College,PS,PS,4820.0,,,,,18681.0
245,0.0,City College of San Francisco,PS,PS,8197.0,15224.0,,,,34896.0
246,0.0,Claremont Graduate University,<=0.05,0.10-0.14,,,,,,
247,0.0,Claremont McKenna College,PS,0.20-0.39,10281.0,78723.0,0.1035,1.0,0.9579,87603.0
248,0.0,Milan Institute-Visalia,PS,PS,7373.0,,,,,28817.0
249,0.0,Clovis Adult Education,PS,PS,,,,,,42777.0
250,0.0,Coastline Community College,PS,PS,8000.0,17546.0,,,,42638.0
251,0.0,University of Silicon Valley,<=0.20,<=0.20,19631.0,36955.0,0.6466,0.4423,0.5,39802.0
252,0.0,Coba Academy,PS,PS,,,,,,17269.0
253,0.0,Western University of Health Sciences,<=0.02,0.23-0.24,,,,,,
254,0.0,Columbia College,PS,PS,,16491.0,,,,32510.0
255,0.0,California College of ASU,0.10-0.19,<=0.10,13390.0,38107.0,,0.1667,0.3636,33350.0
256,0.0,Compton College,PS,PS,,11125.0,,,,28922.0
257,0.0,Contra Costa College,PS,PS,4750.0,13242.0,,,,34342.0
258,0.0,Cosumnes River College,PS,PS,8944.0,11048.0,,,,33490.0
259,0.0,Crafton Hills College,PS,PS,,20594.0,,,,35077.0
260,0.0,Cuesta College,0.10-0.19,0.10-0.19,9954.0,17574.0,,,,38541.0
261,0.0,Cuyamaca College,PS,PS,,12960.0,,,,29836.0
262,0.0,Cypress College,PS,<=0.20,8000.0,13843.0,,0.3278,,35285.0
263,0.0,De Anza College,0.10-0.19,0.10-0.19,7000.0,12852.0,,,,43179.0
264,0.0,International School of Beauty Inc,PS,PS,,,,,,15318.0
265,0.0,Dell'Arte International School of Physical Theatre,PS,PS,,,,,,
266,0.0,College of the Desert,PS,PS,,18541.0,,,,31085.0
267,0.0,Design Institute of San Diego,PS,PS,26276.0,36656.0,1.0,,0.3333,46916.0
268,0.0,Dharma Realm Buddhist University,,,,,0.5455,,,
269,0.0,Diablo Valley College,<=0.20,<=0.20,6334.0,12949.0,,,,38306.0
270,0.0,Dominican University of California,<=0.05,0.15-0.19,23878.0,67130.0,0.9318,0.7237,0.8525,71477.0
271,0.0,Dominican School of Philosophy & Theology,PS,PS,,,,,,
272,0.0,East Los Angeles College,PS,PS,7250.0,19153.0,,,,33032.0
273,0.0,El Camino Community College District,PS,PS,4750.0,12067.0,,,,30790.0
274,0.0,Emperor's College of Traditional Oriental Medicine,PS,PS,,,,,,
275,0.0,Empire College,PS,PS,12139.0,,,0.5278,,45445.0
276,0.0,Evergreen Valley College,PS,PS,,23471.0,,,,39807.0
277,0.0,FIDM-Fashion Institute of Design & Merchandising,0.09-0.10,0.09-0.10,13531.0,54330.0,0.4171,0.56,,40974.0
278,0.0,Feather River Community College District,0.20-0.39,<=0.20,7541.0,15677.0,,0.369,0.8125,33495.0
279,0.0,Federico Beauty Institute,<=0.20,<=0.20,5735.0,,,,,26329.0
280,0.0,Fielding Graduate University,<=0.10,<=0.10,,,,,,
281,0.0,Five Branches University,<=0.20,<=0.20,,,,,,
282,0.0,Redondo Beach Beauty College,PS,PS,,,,,,
283,0.0,Foothill College,0.10-0.19,0.10-0.19,7000.0,15403.0,,0.5063,,48920.0
284,0.0,Franciscan School of Theology,PS,PS,,,,,,
285,0.0,Fredrick and Charles Beauty College,PS,PS,,,,,,17889.0
286,0.0,Fresno City College,PS,PS,3500.0,11972.0,,,,30049.0
287,0.0,Fresno Pacific University,<=0.05,0.05-0.09,19532.0,41576.0,0.75,0.4404,0.7538,51422.0
288,0.0,Fuller Theological Seminary,<=0.05,0.10-0.14,,,,,,
289,0.0,Fullerton College,0.20-0.29,<=0.10,7626.0,15591.0,,,,34531.0
290,0.0,Gavilan College,PS,PS,,13368.0,,,,37804.0
291,0.0,Gemological Institute of America-Carlsbad,PS,<=0.20,8233.0,,,,,43110.0
292,0.0,Glendale Community College,PS,PS,7000.0,14536.0,,,,32387.0
293,0.0,Glendale Career College,<=0.20,<=0.20,9319.0,,,0.4712,,38921.0
294,0.0,Golden Gate University,0.05-0.06,0.13-0.14,23000.0,,,,,81704.0
295,0.0,Golden West College,PS,PS,5500.0,11422.0,,,,34462.0
296,0.0,Graduate Theological Union,PS,PS,,,,,,
297,0.0,Grossmont College,<=0.20,<=0.20,4550.0,11522.0,,,,31861.0
298,0.0,Salon Success Academy-Riverside,PS,PS,,,,,,17045.0
299,0.0,Hartnell College,PS,PS,,11638.0,,,,36065.0
300,0.0,Harvey Mudd College,<=0.20,0.60-0.79,20494.0,82236.0,0.1336,0.931,0.9733,115107.0
301,0.0,Hilltop Beauty School,PS,PS,,,,,,25207.0
